5850,42000
4000,38500
3060,49500
6650,60500
6360,61000
4160,66000
3880,66000
4160,69000
4800,83800
5500,88500
7200,90000
3000,30500
1700,27000
2880,36000
3600,37000
3185,37900
3300,40500
5200,40750
3450,45000
3986,45000
4785,48500
4510,65900
4000,37900
3934,38000
4960,42000
3000,42300
3800,43500
4960,44000
3000,44500
4500,44900
3500,45000
3500,48000
4000,49000
4500,51500
6360,61000
4500,61000
4032,61700
5170,67000
5400,82000
3150,54500
3745,66500
4520,70000
4640,82000
8580,92000
2000,38000
2160,44000
3040,41000
3090,43000
4960,48000
3350,54800
5300,55000
4100,57000
9166,68000
4040,95000
3630,38000
3620,25000
2400,25245
7260,56000
4400,35500
2400,30000
4120,48000
4750,48000
4280,52000
4820,54000
5500,56000
5500,60000
5040,60000
6000,67000
2500,47000
4095,70000
4095,45000
3150,51000
1836,32500
2475,34000
3210,35000
3180,36000
1650,45000
3180,47000
3180,55000
6360,63900
4240,50000
3240,35000
3650,50000
3240,43000
3780,55500
6480,57000
5850,60000
3150,78000
3000,35000
3090,44000
6060,47000
5900,58000
7420,163000
8500,128000
8050,123500
6800,39000
8250,53900
8250,59900
3500,35000
2835,43000
4500,57000
3300,79000
4320,125000
3500,132000
4992,58000
4600,43000
3720,48000
3680,58500
3000,73000
3750,63500
5076,43000
4500,46500
5000,92000
4260,75000
6540,75000
3700,85000
3760,93000
4000,94500
4300,106500
6840,116000
4400,61500
10500,80000
4400,37000
4840,59500
4120,70000
4260,95000
5960,117000
8800,122500
4560,123500
4600,127000
4840,35000
3850,44500
4900,49900
3850,50500
3760,65000
6000,90000
4370,46000
7700,35000
2990,26500
3750,43000
3000,56000
2650,40000
4500,51000
4500,51000
4500,57250
4500,44000
2175,61000
4500,62000
4800,80000
4600,50000
3450,59900
3000,35500
3600,37000
3600,42000
3750,48000
2610,60000
2953,60000
2747,60000
1905,62000
3968,63000
3162,63900
6000,130000
2910,25000
2135,50000
3120,52900
4075,62000
3410,73500
2800,38000
2684,46000
3100,48000
3630,52500
1950,32000
2430,38000
4320,46000
3036,50000
3630,57500
5400,70000
3420,69900
3180,74500
3660,42000
